bulbapedia_title,es,ko,ja
Hugh,Matís,휴이,ヒュウ
Hyde,Idrán,하이드,ハイド
Ilima,Liam,일리마,イリマ
Ingo,Fero,상행,ノボリ
Inver,Axel,역인,サカサ
Iono,e-Nigma,모야모,ナンジャモ
Irida,Nákara,주혜,カイ
Iris,Iris,아이리스,アイリス
Iscan,Erio,억새,ススキ
Ivor,Albar,시로,シロー
Jacinthe,Lilette,유카리,ユカリ
Jacq,Cinio,지니어,ジニア
James,James,로이,"コジロウ <ref name=""Johi"">This spelling was used on the packaging of the [[G.E.M. Series]] figure as the character's romanized name.</ref>"
Jamie,Jamie,렌,レン
Janine,Sachiko,도희,アンズ
Jasmine,Yasmina,규리,ミカン
Jessie,Jessie,로사,ムサシ
Jet,Jet,제트,ジェット
Jett,Viona,제트,ジェット
Johanna,Casilda,진희,アヤコ
Jordan,Claus,진영,サスケ
Josée,Cecilia,코타네,コタネ
Juan,Galano,아단,アダン
Julia,Olga,해인,フミコ
Juliana (game),Juliana,푸름,アオイ
Jupiter,Ceres,주피터,ジュピター
Kabu,Naboru,순무,カブ
Kahili,Kahili,카일리,カヒリ
Kajima,Kalsot,배단,ナカジマナ
Kamado,Sorbus,전목,デンボク
Katy,Araceli,단풍,カエデ
Keira,Telma,미혜,ミミィ
Kellyn,Primo,창희,ハジメ
Ketch Appy,Niño prodigio y detective de Poké-reloj,포켓치형사 켓치,ポケッチデカのケッチちゃん
Kiawe,Kiawe,키아웨,カキ
Kieran,Cass,카지,スグリ
Kiri,Dulcinea,키리,キリ
Kitt,Aru,루콜라,ルッコラ
Kiyo,Kiyo,노현,ノブヒコ
Klara,Sófora,도정,クララ
Kofu,Fuco,곤포,ハイダイ
Koga,Koga,독수,キョウ
Koichi,Koichi,무덕,タケノリ
Korrina,Corelia,코르니,コルニ
Kris (game),Cristi,크리스,クリス
Kurt,César,강집,ガンテツ
Lacey,Aroa,타로,タロ
Lana,Nereida,수련,スイレン
Lance,Lance,목호,ワタル
Larry,Laureano,청목,アオキ
Leaf (game),Hoja,리프,リーフ
Leah,Laia,리아,リア
Lear,Alik,라이어,ライヤー
Lebanne,Delphia,시온,ハルジオ
Lenora,Aloe,알로에,アロエ
Leon,Lionel,단델,ダンデ
Li,Anselmo,청성,コウセイ
Lian,Nambo,단지,キクイ
Lida,Bárbara,루디,デウロ
Lillie,Lylia,릴리에,リーリエ
Lily (Kanto),Lily,세나,ボタン
Lisia,Ariana,루티아,ルチア
Loblolly,Teca,자단,シタン
Lorelei,Lorelei,칸나,カンナ
Lostelle,Pedrita,마요,マヨ
Lt. Surge,"Teniente Surge<ref group=n>[[Core series]] ([[Generation VII]] onwards), [[Pokémon animated series]]</ref><br>Lt. Surge<ref group=n>Core series (Prior to Generation VII), [[Pokémon Adventures]]</ref>",마티스,マチス
Lucas (game),León,광휘,コウキ
Lucian,Delos,오엽,ゴヨウ
Lucy Fleetfoot,Lucy Fleetfoot,루시 라이트훗 {{tt||Lucy Lightfoot}},ルーシー・ライトフット {{tt||Lucy Lightfoot}}
Lusamine,Samina,루자미네,ルザミーネ
Lyra (game),Lira,금선,コトネ
Lysandre,Lysson,플라드리,フラダリ
MC Sledge,MC Bull-A,MC 한방,ＭＣカマー
Mable,Melia,모미지,モミジ
Magnus,Sansón,권철,コブシ
Mai,Lina,미도,ヨネ
Maizie,Millie,혜지,チエ
Mallow,Lulú,마오,マオ
Malva,Malva,파키라,パキラ
Mani,Manny,마니,マニー
Marley,Sémola,미정,マイ
Marlon,Ciprián,시즈,シズイ
Marnie,Roxy,마리,マリィ
Mars,Venus,마스,マーズ
Marshal,Lotto,연무,レンブ
Mateo,Mateo,마테오,マテオ
Matt,Matías{{sup/3|RS}}{{sup/6|ORAS}}<br>Tolo{{sup/3|E}},해조,ウシオ
Maxie,Magno,마적,マツブサ
Maximo,Pólux,구별형님,ケジメ
May (game),Aura,봄이,ハルカ
Maylene,Brega,자두,スモモ
Mayor Karp,Don Karpio,카프촌장,カープ町長
Mela,Melo,멜로코,メロコ
Melli,Kameri,동백,ツバキ
Melony,Mel,멜론,メロン
Milo,Percy,아킬,ヤロー
Mina,Rika,말리화,マツリカ
Mira,Maiza,미루,ミル
Miriam,Mimí,미모사,ミモザ
Miss Fortunes,Tres Malezas,송죽매,ショウチクバイ
Mohn,Polo,몬,モーン
Molayne,Lario,멀레인,マーレイン
Morgan,Aurora,르마탱,ルミタン
Mr. Briney,Sr. Arenque,하기노인,ハギ老人
Mr. Fuego,Señor Fuego,골풀무,タタラ
Mr. Fuji,Señor Fuji,등나무노인,フジ老人
Mr. Game,Sr. Juego,미스터 게임,
Mr. Goods,Sr. Curiosidades,미스터 굿즈,ミスター・グッズ
Mr. Stone,Sr. Peñas,나발명무궁화사장<br>,ツワブキ・ムクゲ社長<br>
Mr. Windychu,Sr. Ventachu,바람츄,カゼピカくん
Ms. Wavychu,Sra. Oleachu,파도츄,ナミピカちゃん
Mustard,Mostaz,마스터드,マスタード
N,N,{{ruby|N|엔}},Ｎ
Nanu,Denio,나누,クチナシ
Nate (game),Rizzo,공명,キョウヘイ
Naveen,Acris,이노,ピュール
Nebby,Nebulilla,별구름,ほしぐもちゃん
Nemona,Mencía,네모,ネモ
Nemona (anime),Mencía,네모,ネモ
Nessa,Cathy,야청,ルリナ
Nicky (Unova),Keko,쿡,クック
Nita,Nocta,라뉴이,ラニュイ
Noland,Sabino,다투라,ダツラ
Norman,Norman,종길,センリ
Oleana,Olivia,올리브,オリーヴ
Olivia,Mayla,라이치,ライチ
Olympia,Ástrid,고지카,ゴジカ
Opal,Sally,포플러,ポプラ
Ortega,Gus,오르티가,オルティガ
Palina,Nina,라나,ガラナ
Palmer,Jericor,종수,クロツグ
Paulo,Paolo,고상,キリヤ
Paxton (game),Paxton,공준,キョウヤ
Penny,Noa,모란,ボタン
Peonia,Ariette,니아,シャクヤ
Peony,Peony,피오니,ピオニー
Perrin,Gama,세류,サザレ
Pesselle,Almira,공이,キネ
Petrel,Petrel,람다,ラムダ
Phil the Photo Guy,Marco Carrete,카메라아저씨,カメラおやじ
Philippe,Giso,지프,ジプソ
Phoebe,Fátima,회연,フヨウ
Phyco,Siro,시오니라,シオニラ
Piers,Nerio,두송,ネズ
Plumeria,Francine,플루메리,プルメリ
Poppy,Pola,뽀삐,ポピー
Primo,Cástor,큰형님,ハジメ
Professor Andy,Profesor Andy,앤디 선생님,アンディ先生
Professor Bellis,Profesora Margarita,데이지박사,ヒナギク博士
Professor Birch,Profesor Abedul,털보박사,オダマキ博士
Professor Burnet,Profesora Pimpinela,버넷박사,バーネット博士
Professor Carolina,Profesora Carolina,채연박사,カラシナ博士
Professor Cozmo,Profesor Ícaro Cozmo<br />Icarito <small>(Raizoh's nickname)</small>,공석박사,ソライシ・タカオ博士
Professor Elm,Profesor Elm,공박사,ウツギ博士
Professor Juniper,Profesora Encina,주박사,アララギ博士
Professor Kukui,Profesor Kukui,쿠쿠이박사,ククイ博士
Professor Laventon,Profesor Lavender,라벤박사,ラベン博士
Professor Magnolia,Profesora Magnolia,매그놀리아박사,マグノリア博士
Professor Neroli,Profesor Neroli,네롤리박사,ネロリ{{tt|博士|Hakase}}
Professor Oak,Profesor Samuel Oak,오박사 <br>용호,オーキド博士 <br>ユキナリ
Professor Phorus,Profesora Ósfora,인박사,リン博士
Professor Rowan,Profesor Serbal,마박사,ナナカマド博士
Professor Sada,Albora,올림,オーリム
Professor Sycamore,Profesor Ciprés,플라타느박사,プラターヌ博士
Professor Turo,Turo,투로,フトゥー
Professor Willow,Profesor Willow,윌로우박사,ウィロー博士
Proton,Protón,랜스,ランス
Pryce,Fredo,류옹,ヤナギ
Rachel,Serra,치터,チェッタ
Rad Rickshaw,Pepe Volata,자전거인력거,自転車人力
Raifort,Cloe,레포르,レホール
Raihan,Roy,금랑,キバナ
Ramos,Amaro,후쿠지,フクジ
Rango,Keoki,코아,シブ
Red (game),Rojo,레드,レッド
Rei (game),Luka,영빈,テル
Rhi,Rhi,리,リイ
Rika,Cayena,칠리,チリ
Riley,Quinoa,현이,ゲン
Rintaro,Wilfredo,원태,リンタロー
River,River,루이,ルイ
Roark,Roco,강석,ヒョウタ
Rood,Ruga,로트,ロット
Rosa (game),Nanci,명희,メイ
Rose,Rose,로즈,ローズ
Roseanne,Roseanne,해당,ハマナ
Roxie,Hiedra,보미카,ホミカ
Rust Syndicate,Clan Corrosión,녹청파,サビ組
Rydel,Anacleto,카제노,カゼノ
Rye,Kino,백현,ハク
Ryme,Lima,라임,ライム
Ryoku,Ryoku,녹시,リョクシ
Ryuki,Olano,용규,リュウキ
Sabi,Wasabi,사비,ワサビ
Sabrina,Sabrina,초련,ナツメ
Saguaro,Hugo,사구아로,サワロ
Salvatore,Silvio,세이지,セイジ
Samson Oak,Gabriel Oak,송호 오,ナリヤ・オーキド
Sanqua,Sasha,산다화,サザンカ
Saturn,Saturno,새턴,サターン
Sawyer (Masters),Néstor,드리버,ドリバル
Scott,Treto,금작화,エニシダ
Scottie,Scottie,결,ケイ
Selene (game),Selene,미월,ミヅキ
Serena (game),Serena,세레나,セレナ
Shauna,Xana,사나,サナ
Shauntal,Anís,망초,シキミ
Shielbert,Dargo,실디,シルディ
Shizune,Paola,하은,シズネ
Sidney,Sixto,혁진,カゲツ
Siebold,Narciso,즈미,ズミ
Sierra,Sierra,시에라,シエラ
Silver (game),Plata,실버,シルバー
Sina,Sina,지나,ジーナ
Skyla,Gerania,풍란,フウロ
Snacksworth,Galletano,간식아저씨,おやつおやじ
Solana,Selena,희정,ヒナタ
Soliera,Miria,미린,ミリン
Sonia,Sonia,소니아,ソニア
Sophocles,Chris,마마네,マーマネ
Sordward,Tizonio,소도,ソッド
Spark (GO),Spark,스파크,スパーク
Spenser,Aniceto,우근,ウコン
Steven Stone,Máximo Peñas,나성호,ツワブキ・ダイゴ
Synclaire,Cronia,싱크로미,シンクロミ
Tabitha,Tatiano,호걸,ホムラ
Tao Hua,Tao Hua,타오파,タオファ
Tarragon,Estragón,타라곤,タラゴン
Tate and Liza,Vito,풍,フウ
Tatora,Tora,토토라,トトラ
Taunie,Muni,타니,タウニー
Teala,Teala,청채,アオナ
Team Break,Team Break,브레이크단,ブレイク団
Team Flare,Team Flare,플레어단,フレア団
Team Flare Nouveau,Team Flare Nouveau,플레어단 누보,フレア団ヌーヴォ
Team MZ,Equipo MZ,MZ단,ＭＺ団
Team Plasma,Equipo Plasma,플라스마단,プラズマ団
Team Rocket,Team Rocket,로켓단,ロケット団
Team Star,Team Star,스타단,スター団
The Riches (Trainer class),Familia Finolis,부르주아가,ブルジョワールけ
Thorton,Espinal,수철,ネジキ
Tierno,Beni,티에르노,ティエルノ
Tina,Rina,리카,リッカ
Todd Snap,Todd Snap,찰칵,トオル
Trevor,Trovato,트로바,トロバ
Tricia,Tricia,트리커,トリカ
Trinnia,Trini,사크사,サクサ
Trista,Tris,커티,クルティ
Tucker,Tactio,하인즈,ヒース
Tuli,Isca,예은,ツイリ
Tulip,Tuli,리파,リップ
Tyme,Mila,타임,タイム
Urbain,Urbi,가이,ガイ
Valerie,Valeria,마슈,マーシュ
Vessa,Alma,유라,ユラ
Victor (game),Victor,승재,マサル
Vinnie,Airén,머스캣,マスカット
Viola,Violeta,비올라,ビオラ
Violet (anime),Violet,두나,アヤメ
Visquez,Vázquez,비스케스,ビスケス
Volkner,Lectro,전진,デンジ
Volo,Volus,월로,ウォロ
Walker (Adventures),"Walker{{tt|*|VIZ Media, Panini Comics (Latin America)}}",비행,ハヤテ
Wally,Blasco,민진,ミツル
Wanda,Clara,미진,ミチル
Week Siblings,Luna<br>Marta<br>Miguel<br>Josué<br>Vicky<br>Sabino<br>Domingo,월희 <br>화홍 <br>수방 <br>목인 <br>금순 <br>토영 <br>일식,ツキコ <br>ヒコ <br>ミズオ <br>モクオ <br>カネコ <br>ツチオ <br>ニチオ
Whitney,Blanca,꼭두,アカネ
Wicke,Zyra,비케,ビッケ
Wikstrom,Tileo,간피,ガンピ
Will,Mento,일목,イツキ
Willem,Bran,윌,ウィル
Wilma,Abuela Ela,진할머니,タツばあさん
Wulfric,Édel,우르프,ウルップ
Xavi,Xavi,자비,シャビ
Xerosic,Xero,크세로시키,クセロシキ
Yancy,Belinda,루리,ルリ
Youssef,Ángel,광수,ヒロノブ
Yukito and Hideko,Nevesio,범모,ユキノシタ
Yvon,Yara,이본,イヴォン
Zach,Zacarías,잭,ザック
Zinnia,Tristana,피아나,ヒガナ
Zinzolin,Menek,비오,ヴィオ
Zirco,Zargun,지르코,ジル
Zisu,Crispa,페릴라,ペリーラ
Zossie,Zoe,아마모,アマモ
