원문	한국어	글자수	갈래	근거	확신도	비고
Izan	이산	2	스페인어	스페인어 z=ㅅ	확실	
Jade	제이드	3	영어권	프랑스 여자 이름 Jade를 프랑스식으로 읽었다(유지자 판정 2026-08-17의 프랑스 우선 규칙)	갈림	유지자 판정 2026-08-17: 프랑스식 자드 대신 통용 제이드. 영어식이면 제이드, 스페인어식이면 야데. 국내 인지도는 제이드 쪽이 훨씬 높다
Javi	하비	2	스페인어	스페인어 J=ㅎ. 선례 Jorge→호르헤	확실	⚠겹침: 기존 Harvey→하비와 같은 한국어. 유지자 판정 2026-08-17: 겹침 허용
Joel	호엘	2	스페인어	스페인어 J=ㅎ	확실	
Jopis	호피스	3	핸들·조어	스페인어 J=ㅎ	확실	
Joseph	조셉	2	영어권	영어 이름의 국내 통용 조셉	확실	유지자 판정 2026-08-17: 통용 표기로 확정. 표기법대로면 조지프, 프랑스식이면 조제프
Juanma	후안마	3	스페인어	Juan+Manuel, J=ㅎ	확실	
Katherin	캐서린	3	영어권	영어 Katherine의 통용 표기	확실	
Kenzo	켄조	2	핸들·조어	일본계 이름 Kenzo의 국내 통용	갈림	브랜드 표기는 겐조, 스페인어식이면 켄소
Koaloso	코알로소	4	핸들·조어	koala+-oso, 스페인어 음가	확실	
Kreistofolo	크레이스토폴로	7	핸들·조어	스페인어 음가, ei=에이	확실	길이 7 초과
Kus	쿠스	2	핸들·조어	스페인어 음가	확실	
Kyo	쿄	1	대중문화	일본 이름 쿄의 국내 통용	확실	
Langost	랑고스트	4	농담·사물	langosta의 잘린 꼴, 규칙 5로 음역	확실	
Leona	레오나	3	스페인어	스페인어 음가	확실	
Linkarinka	링카린카	4	핸들·조어	스페인어 음가	확실	
Liwiwis	리위위스	4	핸들·조어	스페인어 wi=위	확실	
Luca	루카	2	스페인어	스페인어·이탈리아어 공통	확실	
Lucas	루카스	3	스페인어	스페인어 음가	확실	
Macro	마크로	3	핸들·조어	스페인어 낱말 macro의 음가(규칙 4 기본값)	확실	영어로 읽으면 매크로
Marcos	마르코스	4	스페인어	스페인어 음가	확실	
Matias	마티아스	4	스페인어	Matías	확실	
Miauzan	미아우산	4	핸들·조어	miau(야옹)+zan, z=ㅅ	확실	
Miguluf	미굴루프	4	핸들·조어	스페인어 음가	확실	
Miha	미하	2	핸들·조어	슬로베니아·크로아티아 이름 Miha(Mihael 애칭)로 보면 미하. 이 게임의 h 선례도 ㅎ 쪽이 다수(Hibis→히비스, Hisopo→히소포)라 두 근거가 겹친다	확실	스페인어 조어로 보고 h를 묵음 처리하면 미아
Mikel	미켈	2	바스크·카탈루냐	바스크 Mikel	확실	
Miniverso	미니베르소	5	농담·사물	'소우주', 규칙 5로 음역. v=ㅂ	확실	
Miren	미렌	2	바스크·카탈루냐	바스크 Miren	확실	
Molina	몰리나	3	스페인어	스페인어 성	확실	
Moral	모랄	2	스페인어	스페인어 성	확실	
Morochus	모로추스	4	핸들·조어	morocho 계열, ch=ㅊ	확실	
Natania	나타니아	4	핸들·조어	히브리계 이름 Natania와 스페인어 음가가 같은 결과다	확실	
Neku	네쿠	2	대중문화	더 월드 엔즈 위드 유의 네쿠, 국내 통용	확실	
Nickorost	니코로스트	5	핸들·조어	Nick+orost, 스페인어 음가	확실	
Nix	닉스	2	핸들·조어	그리스 신화 Nyx·게르만 물의 정령 Nix·스페인어 음가가 모두 닉스로 모인다	확실	⚠겹침: 절14의 기존 Nixx→닉스와 같은 한국어
Ona	오나	2	바스크·카탈루냐	카탈루냐 Ona	확실	
Ortega	오르테가	4	스페인어	스페인어 성	확실	
Ozumas	오수마스	4	핸들·조어	스페인어 z=ㅅ	확실	
Pablosamper	파블로삼페르	6	스페인어	Pablo+Samper. 선례 Pablo→파블로	확실	길이 6 초과
Pabu	파부	2	핸들·조어	코라의 전설에 나오는 파부 차용으로 보이는데, 국내 통용 표기와 스페인어 음가가 같은 결과다	확실	
Paul	폴	1	영어권	영어 Paul 통용	확실	
Pelao	펠라오	3	농담·사물	'대머리', 규칙 5로 음역	확실	
Pepinonazo	페피노나소	5	농담·사물	pepino+-azo, 규칙 5로 음역. z=ㅅ	확실	
Pepito	페피토	3	스페인어	José 애칭	확실	
Poliedro	폴리에드로	5	농담·사물	'다면체', 규칙 5로 음역	확실	
Raagde	라아그데	4	핸들·조어	스페인어 음가	확실	
Ramiro	라미로	3	스페인어	스페인어 음가	확실	
Rannie	래니	2	영어권	영어 애칭 Rannie	갈림	스페인어로 읽으면 라니에
Ray	레이	2	영어권	영어 Ray 통용	확실	
Reno	레노	2	핸들·조어	파이널 판타지 VII의 레노 차용으로 보이는데, 국내 통용 표기와 스페인어 음가가 같은 결과다	확실	
Repo	레포	2	핸들·조어	스페인어 음가	확실	
Rodny	로드니	3	영어권	Rodney 변형, 영어 통용 로드니	확실	
Rojas	로하스	3	스페인어	스페인어 J=ㅎ	확실	
Sacroxito	사크록시토	5	핸들·조어	스페인어 x=ㄱㅅ	확실	
Salazar	살라사르	4	스페인어	스페인어 z=ㅅ	확실	
Santiago	산티아고	4	스페인어	스페인어 음가	확실	
Saren	사렌	2	핸들·조어	매스 이펙트의 사렌 차용으로 보이는데, 국내 통용 표기와 스페인어 음가가 같은 결과다	확실	
Schaz	샤츠	2	핸들·조어	독일어 Schatz 계열. 독일어 어말 z는 ㅊ으로 적는다(Mozart→모차르트, Schweiz→슈바이츠)	갈림	웹에서 이 철자의 실제 핸들은 못 찾았다. 스페인어식으로 끊어 읽으면 스차스
Seara	세아라	3	바스크·카탈루냐	갈리시아계 성	확실	
Seph	세프	2	핸들·조어	Sephiroth 축약, 스페인어·영어 공통 세프	확실	
Simone y Philip	시몬과 필립	5	2인조	프랑스식으로 읽어 Simone=시몬. 앞말 받침 ㄴ이라 조사는 「과」	확실	유지자 판정 2026-08-17: 갈리면 프랑스식(칼로스가 프랑스 배경). 이탈리아·스페인식이면 「시모네와 필립」
Smigol	스미골	3	대중문화	반지의 제왕 Sméagol의 국내 통용 스미골(규칙 7)	확실	
Sopa	소파	2	농담·사물	'수프'지만 규칙 5로 음역	확실	한국어 낱말 소파(가구)와 동음
Splinter	스플린터	4	대중문화	닌자 거북이의 스플린터, 국내 통용	확실	
Susana	수사나	3	스페인어	스페인어 s=ㅅ	확실	
Tab	탭	1	핸들·조어	영어 낱말 tab	갈림	스페인어식이면 타브
Tecnowolf	테크노울프	5	핸들·조어	tecno는 스페인어, wolf는 명백한 영어(규칙 4)	확실	
Thornz	손즈	2	핸들·조어	영어 thorn+z. th=ㅅ, 어말 [z]=즈(외래어 표기법 영어 세칙)	갈림	웹에서 이 철자의 실제 핸들은 못 찾았다. 철자대로 읽으면 토른즈
Thyraxes	티락세스	4	핸들·조어	그리스·페르시아계 어미 -xes(크세르크세스·아르타크세르크세스) 방식과 스페인어 음가가 같은 결과를 낸다	확실	영어식으로 읽으면 사이락시스
Tindi	틴디	2	핸들·조어	스페인어 음가	확실	
Tito	티토	2	스페인어	스페인어 애칭	확실	
Tonet	토네트	3	바스크·카탈루냐	카탈루냐 지소형(Antonet)	확실	
Tony	토니	2	영어권	영어 Tony 통용	확실	
Tralcs	트랄크스	4	핸들·조어	스페인어 음가	확실	
Vicente	비센테	3	스페인어	v=ㅂ, c+e=ㅅ	확실	
Victor	빅토르	3	스페인어	Víctor의 스페인어 음가	확실	
Vilches	빌체스	3	스페인어	ch=ㅊ, 스페인어 성	확실	
Ville	빌	1	핸들·조어	핀란드 남자 이름 Ville(Vilhelm 애칭). 프랑스어 ville은 사람 이름이 아니라 '도시'라는 보통명사라 프랑스 우선 규칙을 걸 대상이 없다	갈림	유지자 판정 2026-08-17: 빌. 프랑스식 규칙을 그대로 적용하면 빌(다만 한국어 빌은 Bill로 읽힌다). 스페인어식이면 비예
Willy	윌리	2	영어권	영어 Willy 통용	확실	
Xareu	샤레우	3	바스크·카탈루냐	갈리시아어 x=ㅅ+반모음	확실	
Yibiri	이비리	3	핸들·조어	스페인어 y+i=이	갈림	후보 지비리
Yuki	유키	2	핸들·조어	일본 이름 유키의 국내 통용	확실	
Zebal	세발	2	핸들·조어	스페인어 z=ㅅ	확실	한국어 '세발'과 동음이나 규칙대로 음역
Becuille	베퀼레	3	신화·전설	아일랜드 신화의 여성 드루이드 Bé Chuille. 같은 묶음 선례 Bodhmall→보그말·Tlachtga→틀라흐트가·Kiamhe→키아베	확실	수정 / 유지자 판정 2026-08-17, 2026-08-01 판정 뒤집음 — 기존 「베 힐러」(14-trainer-names.jsonl:304) 교체
